,사업유형,기존주택계,신규주택계,사업시작,사업완료,사업시행인가,담당자
경기도 양주시,재개발,105,0,,,,송용재(031-8082-6561)
경기도 양주시,도시환경,99,0,,,,송용재(031-8082-6561)
경기도 파주시,재개발,150,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,132,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,353,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,333,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,195,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,145,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,227,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,128,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,255,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,180,0,,,,백승국(031-940-4776)
경기도 파주시,도시환경,340,0,,,,백승국(031-940-4776)
경기도 파주시,도시환경,96,0,,,,백승국(031-940-4776)
경기도 파주시,재개발,565,2593,2019,2023,,안운혁(031-940-4775)
경기도 파주시,재개발,285,940,2019,2023,'20.09.08,백승국(031-940-4776)
경기도 파주시,재개발,394,668,2019,2023,'20.06.30,백승국(031-940-4776)
경기도 파주시,재개발,950,2583,2019,2023,'20.06.30,안운혁(031-940-4775)
경기도 파주시,재개발,319,1055,2018,2022,'18.07.24,백승국(031-940-4776)
경기도 파주시,재개발,304,1213,2018,2022,'18.07.24,안운혁(031-940-4775)
경기도 파주시,재건축,96,115,2011,2025,'11.03.02,안운혁(031-940-4775)
경기도 파주시,재건축,37,66,2016,2019,'15.12.15,백승국(031-940-4776)
경기도 용인시,주거환경개선,,0,,,,박상준(031-324-2408)
경기도 용인시,주거환경개선,,0,,,,박상준(031-324-2408)
경기도 용인시,주거환경개선,,0,,,,박상준(031-324-2408)
경기도 용인시,주거환경개선,,0,,,,박상준(031-324-2408)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 용인시,재건축,,0,,,,윤대혁(031-324-2407)
경기도 평택시,재개발,0,0,,,,
경기도 평택시,재개발,0,0,,,,
경기도 평택시,재건축,483,0,,,,
경기도 평택시,재건축,360,0,,,,
경기도 평택시,재건축,299,0,,,,
경기도 평택시,재건축,300,0,,,,
경기도 평택시,재건축,216,0,,,,
경기도 평택시,재건축,414,0,,,,
경기도 평택시,재건축,520,0,,,,
경기도 평택시,재건축,420,0,,,,
경기도 평택시,재건축,380,0,,,,
경기도 평택시,재건축,490,0,,,,
경기도 평택시,재건축,1266,0,,,,
경기도 평택시,재건축,1164,0,,,,
경기도 평택시,재건축,612,0,,,,
경기도 평택시,재건축,90,0,,,,
경기도 평택시,주거환경개선,0,0,,,,
경기도 평택시,주거환경개선,0,0,,,,
경기도 평택시,주거환경개선,0,0,,,,
경기도 평택시,주거환경개선,0,0,,,,
경기도 평택시,주거환경개선,0,0,,,,
경기도 평택시,주거환경개선,0,0,,,,
경기도 평택시,주거환경개선,0,0,,,,
경기도 수원시,재개발,543,1067,2006,,'11.09.08,박정미(031-228-3483)
경기도 안양시,재개발,2477,0,,,,전민성(031-8045-2561)
경기도 안양시,재개발,1344,0,,,,강현민(031-8045-5314)
경기도 안양시,재개발,901,0,,,,윤덕열(031-8045-2747)
경기도 군포시,재개발,1022,1441,2020,2024,,서연석(031-390-0725)
경기도 군포시,재개발,1661,2021,2020,2024,,서연석(031-390-0725)
